Date,NIFTY_50,ALKEM
2022-05-12,2837.086181640625,15808.0
2022-05-13,2789.42431640625,15782.150390625
2022-05-16,2790.0478515625,15842.2998046875
2022-05-17,2786.544189453125,16259.2998046875
2022-05-18,2827.19873046875,16240.2998046875
2022-05-19,2800.31982421875,15809.400390625
2022-05-20,2882.492919921875,16266.150390625
2022-05-23,2866.7490234375,16214.7001953125
2022-05-24,2813.80712890625,16125.150390625
2022-05-25,2849.325927734375,16025.7998046875
2022-05-26,2902.940185546875,16170.150390625
2022-05-27,2921.5634765625,16352.4501953125
2022-05-30,2954.058349609375,16661.400390625
2022-05-31,3022.98388671875,16584.55078125
2022-06-01,2988.377197265625,16522.75
2022-06-02,2966.25,16628.0
2022-06-03,2976.329833984375,16584.30078125
2022-06-06,2989.145263671875,16569.55078125
2022-06-07,3015.208251953125,16416.349609375
2022-06-08,3032.439697265625,16356.25
2022-06-09,3014.10400390625,16478.099609375
2022-06-10,3009.544677734375,16201.7998046875
2022-06-13,2970.52197265625,15774.400390625
2022-06-14,2949.642578125,15732.099609375
2022-06-15,2976.857421875,15692.150390625
2022-06-16,2929.1953125,15360.599609375
2022-06-17,2974.31396484375,15293.5
2022-06-20,2993.36865234375,15350.150390625
2022-06-21,2952.5703125,15638.7998046875
2022-06-22,2860.70166015625,15413.2998046875
2022-06-23,2912.9716796875,15556.650390625
2022-06-24,2885.03662109375,15699.25
2022-06-27,2910.81201171875,15832.0498046875
2022-06-28,2862.909423828125,15850.2001953125
2022-06-29,2847.50244140625,15799.099609375
2022-06-30,2878.509033203125,15780.25
2022-07-01,2899.38818359375,15752.0498046875
2022-07-04,2918.780029296875,15835.349609375
2022-07-05,2928.139404296875,15810.849609375
2022-07-06,2954.826416015625,15989.7998046875
2022-07-07,2982.953369140625,16132.900390625
2022-07-08,2999.801025390625,16220.599609375
2022-07-11,3045.687255859375,16216.0
2022-07-12,2966.5859375,16058.2998046875
2022-07-13,3014.82421875,15966.650390625
2022-07-14,3060.99853515625,15938.650390625
2022-07-15,3083.365966796875,16049.2001953125
2022-07-18,3119.98876953125,16278.5
2022-07-19,3116.724609375,16340.5498046875
2022-07-20,3068.102294921875,16520.849609375
2022-07-21,3086.24609375,16605.25
2022-07-22,3046.886962890625,16719.44921875
2022-07-25,2984.63330078125,16631.0
2022-07-26,2953.57861328125,16483.849609375
2022-07-27,3010.21630859375,16641.80078125
2022-07-28,3098.485107421875,16929.599609375
2022-07-29,3096.037353515625,17158.25
2022-08-01,3085.670166015625,17340.05078125
2022-08-02,3063.638427734375,17345.44921875
2022-08-03,2981.5615234375,17388.150390625
2022-08-04,3025.5283203125,17382.0
2022-08-05,2988.18505859375,17397.5
2022-08-08,2868.65966796875,17525.099609375
2022-08-10,2843.812744140625,17534.75
2022-08-11,2859.48046875,17659.0
2022-08-12,2842.226806640625,17698.150390625
2022-08-16,2832.999267578125,17825.25
2022-08-17,2823.915771484375,17944.25
2022-08-18,2810.5068359375,17956.5
2022-08-19,2822.041259765625,17758.44921875
2022-08-22,2819.87890625,17490.69921875
2022-08-23,2820.167236328125,17577.5
2022-08-24,2823.242919921875,17604.94921875
2022-08-25,2807.2392578125,17522.44921875
2022-08-26,2797.146240234375,17558.900390625
2022-08-29,2798.7802734375,17312.900390625
2022-08-30,2859.240234375,17759.30078125
2022-09-01,2845.0146484375,17542.80078125
2022-09-02,2862.31591796875,17539.44921875
2022-09-05,2917.104248046875,17665.80078125
2022-09-06,2929.9365234375,17655.599609375
2022-09-07,2981.8408203125,17624.400390625
2022-09-08,3047.107177734375,17798.75
2022-09-09,3074.549072265625,17833.349609375
2022-09-12,3081.566162109375,17936.349609375
2022-09-13,3087.66943359375,18070.05078125
2022-09-14,3086.27587890625,18003.75
2022-09-15,3066.95556640625,17877.400390625
